x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,response
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,35.5967
-0.7777777777777778,-0.7777777777777778,-0.7777777777777778,-0.7777777777777778,-0.7777777777777778,-0.7777777777777778,-0.7777777777777778,-0.7777777777777778,-0.7777777777777778,-0.7777777777777778,24.894574348422488
-0.5555555555555556,-0.5555555555555556,-0.5555555555555556,-0.5555555555555556,-0.5555555555555556,-0.5555555555555556,-0.5555555555555556,-0.5555555555555556,-0.5555555555555556,-0.5555555555555556,14.415991083676268
-0.33333333333333337,-0.33333333333333337,-0.33333333333333337,-0.33333333333333337,-0.33333333333333337,-0.33333333333333337,-0.33333333333333337,-0.33333333333333337,-0.33333333333333337,-0.33333333333333337,5.807040740740742
-0.11111111111111116,-0.11111111111111116,-0.11111111111111116,-0.11111111111111116,-0.11111111111111116,-0.11111111111111116,-0.11111111111111116,-0.11111111111111116,-0.11111111111111116,-0.11111111111111116,0.7138138545953366
0.11111111111111116,0.11111111111111116,0.11111111111111116,0.11111111111111116,0.11111111111111116,0.11111111111111116,0.11111111111111116,0.11111111111111116,0.11111111111111116,0.11111111111111116,0.7824009602194794
0.33333333333333326,0.33333333333333326,0.33333333333333326,0.33333333333333326,0.33333333333333326,0.33333333333333326,0.33333333333333326,0.33333333333333326,0.33333333333333326,0.33333333333333326,7.658892592592588
0.5555555555555554,0.5555555555555554,0.5555555555555554,0.5555555555555554,0.5555555555555554,0.5555555555555554,0.5555555555555554,0.5555555555555554,0.5555555555555554,0.5555555555555554,22.989379286694078
0.7777777777777777,0.7777777777777777,0.7777777777777777,0.7777777777777777,0.7777777777777777,0.7777777777777777,0.7777777777777777,0.7777777777777777,0.7777777777777777,0.7777777777777777,48.419951577503426
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,85.5967
